file;run;n;m;objective;time
ta84.txt;17;100;20;6303;225
ta84.txt;18;100;20;6328;193
ta84.txt;19;100;20;6323;215
ta85.txt;0;100;20;6379;274
ta85.txt;1;100;20;6360;252
ta85.txt;2;100;20;6357;219
ta85.txt;3;100;20;6356;236
ta85.txt;4;100;20;6346;200
ta85.txt;5;100;20;6355;229
ta85.txt;6;100;20;6373;268
ta85.txt;7;100;20;6377;203
ta85.txt;8;100;20;6400;187
ta85.txt;9;100;20;6371;224
ta85.txt;10;100;20;6347;224
ta85.txt;11;100;20;6349;328
ta85.txt;12;100;20;6378;147
ta85.txt;13;100;20;6355;267
ta85.txt;14;100;20;6355;271
ta85.txt;15;100;20;6378;213
ta85.txt;16;100;20;6330;264
ta85.txt;17;100;20;6377;183
ta85.txt;18;100;20;6350;237
ta85.txt;19;100;20;6327;321
ta86.txt;0;100;20;6487;137
ta86.txt;1;100;20;6446;193
ta86.txt;2;100;20;6487;129
ta86.txt;3;100;20;6487;127
ta86.txt;4;100;20;6410;226
ta86.txt;5;100;20;6445;152
ta86.txt;6;100;20;6402;226
ta86.txt;7;100;20;6403;304
ta86.txt;8;100;20;6437;162
ta86.txt;9;100;20;6437;216
ta86.txt;10;100;20;6487;113
ta86.txt;11;100;20;6482;130
ta86.txt;12;100;20;6487;127
ta86.txt;13;100;20;6487;129
ta86.txt;14;100;20;6487;133
ta86.txt;15;100;20;6437;149
ta86.txt;16;100;20;6487;135
ta86.txt;17;100;20;6487;130
ta86.txt;18;100;20;6366;283
ta86.txt;19;100;20;6445;129
ta87.txt;0;100;20;6321;251
ta87.txt;1;100;20;6303;360
ta87.txt;2;100;20;6312;308
ta87.txt;3;100;20;6315;263
ta87.txt;4;100;20;6311;266
ta87.txt;5;100;20;6321;324
ta87.txt;6;100;20;6311;207
ta87.txt;7;100;20;6323;204
ta87.txt;8;100;20;6307;260
ta87.txt;9;100;20;6328;229
ta87.txt;10;100;20;6306;276
ta87.txt;11;100;20;6336;205
ta87.txt;12;100;20;6307;251
ta87.txt;13;100;20;6321;248
ta87.txt;14;100;20;6306;222
ta87.txt;15;100;20;6320;215
ta87.txt;16;100;20;6335;120
ta87.txt;17;100;20;6326;244
ta87.txt;18;100;20;6312;260
ta87.txt;19;100;20;6299;248
ta88.txt;0;100;20;6491;242
ta88.txt;1;100;20;6455;254
ta88.txt;2;100;20;6447;280
ta88.txt;3;100;20;6439;251
ta88.txt;4;100;20;6440;255
ta88.txt;5;100;20;6461;213
ta88.txt;6;100;20;6435;367
ta88.txt;7;100;20;6444;258
ta88.txt;8;100;20;6478;209
ta88.txt;9;100;20;6446;275
ta88.txt;10;100;20;6461;249
ta88.txt;11;100;20;6440;303
ta88.txt;12;100;20;6451;265
ta88.txt;13;100;20;6463;231
ta88.txt;14;100;20;6440;260
ta88.txt;15;100;20;6455;334
ta88.txt;16;100;20;6442;266
ta88.txt;17;100;20;6461;283
ta88.txt;18;100;20;6447;218
ta88.txt;19;100;20;6458;341
ta89.txt;0;100;20;6317;218
ta89.txt;1;100;20;6317;185
ta89.txt;2;100;20;6343;222
ta89.txt;3;100;20;6311;297
ta89.txt;4;100;20;6330;263
ta89.txt;5;100;20;6320;340
ta89.txt;6;100;20;6336;314
ta89.txt;7;100;20;6332;270
ta89.txt;8;100;20;6322;237
ta89.txt;9;100;20;6332;217
ta89.txt;10;100;20;6318;324
ta89.txt;11;100;20;6325;286
ta89.txt;12;100;20;6301;245
ta89.txt;13;100;20;6315;258
ta89.txt;14;100;20;6334;192
ta89.txt;15;100;20;6343;253
ta89.txt;16;100;20;6327;253
ta89.txt;17;100;20;6315;251
ta89.txt;18;100;20;6320;227
ta89.txt;19;100;20;6330;357
ta90.txt;0;100;20;6466;231
ta90.txt;1;100;20;6482;229
ta90.txt;2;100;20;6505;209
ta90.txt;3;100;20;6483;213
ta90.txt;4;100;20;6474;309
ta90.txt;5;100;20;6486;196
ta90.txt;6;100;20;6483;207
ta90.txt;7;100;20;6483;220
ta90.txt;8;100;20;6531;116
ta90.txt;9;100;20;6483;203
ta90.txt;10;100;20;6485;218
ta90.txt;11;100;20;6483;210
ta90.txt;12;100;20;6476;244
ta90.txt;13;100;20;6531;105
ta90.txt;14;100;20;6483;194
ta90.txt;15;100;20;6486;150
ta90.txt;16;100;20;6483;166
ta90.txt;17;100;20;6446;317
ta90.txt;18;100;20;6487;274
ta90.txt;19;100;20;6501;215
rec31.txt;0;50;10;3053;15
rec31.txt;1;50;10;3053;20
rec31.txt;2;50;10;3053;17
rec31.txt;3;50;10;3053;20
rec31.txt;4;50;10;3053;18
rec31.txt;5;50;10;3053;18
rec31.txt;6;50;10;3053;15
rec31.txt;7;50;10;3053;18
rec31.txt;8;50;10;3053;14
rec31.txt;9;50;10;3053;14
rec31.txt;10;50;10;3053;17
rec31.txt;11;50;10;3053;16
rec31.txt;12;50;10;3053;18
rec31.txt;13;50;10;3053;18
rec31.txt;14;50;10;3053;18
rec31.txt;15;50;10;3053;14
rec31.txt;16;50;10;3053;16
rec31.txt;17;50;10;3053;18
rec31.txt;18;50;10;3053;18
